City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Macklin,CA,2022-01-02 10:06:21,52.3334,-109.9348,3.81,89,93,5.26
68,Urengoy,RU,2022-01-02 10:06:21,65.9667,78.3667,-1.25,97,100,10.45
69,Airai,TL,2022-01-02 10:06:21,-8.9266,125.4092,63.82,94,87,1.72
70,Ulaanbaatar,MN,2022-01-02 10:01:26,47.9077,106.8832,-9.27,59,0,2.24
71,Dikson,RU,2022-01-02 10:06:22,73.5069,80.5464,-36.45,94,18,7.52
72,Cape Town,ZA,2022-01-02 10:05:02,-33.9258,18.4232,75.11,54,8,1.99
73,Ruidoso,US,2022-01-02 10:06:23,33.3317,-105.673,16.7,52,1,8.05
74,Longyearbyen,SJ,2022-01-02 10:06:23,78.2186,15.6401,12.04,57,0,21.85
75,Ponta Do Sol,PT,2022-01-02 10:06:23,32.6667,-17.1,73.71,46,78,5.39
76,Zambezi,ZM,2022-01-02 10:06:23,-13.5432,23.1047,85.82,45,36,4.52
77,Nikolskoye,RU,2022-01-02 10:06:24,59.7035,30.7861,20.8,92,82,3.8
78,Derzhavinsk,KZ,2022-01-02 10:06:24,51.1,66.3167,17.91,90,100,9.1
79,Rio Grande,BR,2022-01-02 10:04:13,-32.035,-52.0986,73.45,85,100,11.81
80,Bredasdorp,ZA,2022-01-02 10:06:25,-34.5322,20.0403,72.28,37,24,8.43
81,Anastacio,BR,2022-01-02 10:06:25,-20.4836,-55.8069,75.97,78,0,3.29
82,Dhidhdhoo,MV,2022-01-02 10:04:56,6.8833,73.1,81.95,74,23,8.79
83,Andros Town,BS,2022-01-02 10:06:26,24.7,-77.7667,71.56,73,0,14.41
84,Americus,US,2022-01-02 10:06:27,32.0724,-84.2327,73.53,88,90,10.36
85,Tuktoyaktuk,CA,2022-01-02 10:06:27,69.4541,-133.0374,-15.29,95,100,14.05
86,Rudbar,AF,2022-01-02 10:06:27,30.15,62.6,66.9,47,100,5.23
87,Ucluelet,CA,2022-01-02 10:06:28,48.9329,-125.5528,45.09,92,100,1.01
88,Ballina,AU,2022-01-02 10:07:28,-28.8667,153.5667,71.78,95,6,15.84
89,Cherskiy,RU,2022-01-02 10:07:28,68.75,161.3,15.48,82,94,9.64
90,Saint Anthony,US,2022-01-02 10:07:29,45.0205,-93.218,-10.07,76,1,0.0
91,Ambilobe,MG,2022-01-02 10:04:36,-13.2,49.05,88.77,57,100,6.58
92,Hilo,US,2022-01-02 10:07:29,19.7297,-155.09,73.13,92,75,0.0
93,Port Alfred,ZA,2022-01-02 10:07:30,-33.5906,26.891,69.19,64,79,13.42
94,Huilong,CN,2022-01-02 10:07:30,31.8111,121.655,51.04,70,54,8.21
95,Labuhan,ID,2022-01-02 10:07:30,-6.8844,112.2051,81.9,77,99,7.38
96,Sabratah,LY,2022-01-02 10:03:16,32.7933,12.4885,60.75,74,91,6.89
97,Comodoro Rivadavia,AR,2022-01-02 10:07:14,-45.8667,-67.5,55.26,44,0,24.16
98,Castro,BR,2022-01-02 10:07:31,-24.7911,-50.0119,65.91,88,2,2.82
99,Seoul,KR,2022-01-02 10:07:31,37.5683,126.9778,31.39,49,0,4.12
100,Yellowknife,CA,2022-01-02 10:05:35,62.456,-114.3525,-14.04,92,100,7.07
101,La Plata,AR,2022-01-02 10:05:03,-34.9215,-57.9545,69.82,79,39,6.4
102,Isangel,VU,2022-01-02 10:07:32,-19.55,169.2667,78.84,85,99,7.14
103,Port Macquarie,AU,2022-01-02 10:04:55,-31.4333,152.9167,69.89,75,0,8.32
104,Atherton,GB,2022-01-02 10:07:33,53.5237,-2.4935,51.28,88,34,1.01
105,Itarema,BR,2022-01-02 10:07:34,-2.9248,-39.9167,80.04,80,100,11.03
106,Bichura,RU,2022-01-02 10:07:34,50.5881,107.6022,-5.42,92,64,3.78
107,Ribeira Grande,PT,2022-01-02 10:03:35,38.5167,-28.7,61.2,94,75,14.97
108,Lala,PH,2022-01-02 10:07:35,7.9745,123.7458,76.14,87,100,5.77
109,Kichmengskiy Gorodok,RU,2022-01-02 10:07:35,59.9816,45.7854,11.44,94,94,6.85
110,San Policarpo,PH,2022-01-02 10:07:36,12.1791,125.5072,80.06,74,93,16.04
111,Ahipara,NZ,2022-01-02 10:07:36,-35.1667,173.1667,65.37,84,71,8.97
112,Port-Gentil,GA,2022-01-02 10:07:36,-0.7193,8.7815,79.95,80,100,7.85
113,Cockburn Town,TC,2022-01-02 10:07:37,21.4612,-71.1419,77.95,63,26,18.52
114,Pozo Colorado,PY,2022-01-02 10:07:37,-23.4923,-58.7972,81.81,48,10,7.99
115,Turukhansk,RU,2022-01-02 10:07:37,65.8167,87.9833,-14.35,96,100,12.1
116,Smolenka,RU,2022-01-02 10:07:38,52.1352,113.4974,-9.33,77,100,4.47
117,Portland,US,2022-01-02 10:07:38,45.5234,-122.6762,31.86,84,75,3.0
118,Pandan,PH,2022-01-02 10:07:38,14.0453,124.1694,76.32,81,80,18.63
119,Fortuna,US,2022-01-02 10:07:39,40.5982,-124.1573,37.92,96,1,5.99
120,Mehamn,NO,2022-01-02 10:07:39,71.0357,27.8492,19.4,78,92,9.06
121,Gat,IL,2022-01-02 10:07:39,31.61,34.7642,64.9,100,8,4.99
122,Plettenberg Bay,ZA,2022-01-02 10:07:40,-34.0527,23.3716,68.99,55,43,8.86
123,Taihe,CN,2022-01-02 10:07:40,30.8712,105.3845,51.67,58,15,3.83
124,Sunbury,AU,2022-01-02 10:07:41,-37.5833,144.7333,67.57,75,40,3.0
125,Bonthe,SL,2022-01-02 10:07:41,7.5264,-12.505,84.45,67,50,4.45
126,Novyy Nekouz,RU,2022-01-02 10:06:03,57.9029,38.07,14.09,91,100,11.21
127,Bereda,ES,2022-01-02 10:07:42,43.2686,-7.5406,57.74,89,95,6.06
128,Hegang,CN,2022-01-02 10:07:42,47.4,130.3667,-3.05,77,28,10.6
129,Lagoa,PT,2022-01-02 10:07:42,39.05,-27.9833,57.76,87,100,9.89
130,Luderitz,NA,2022-01-02 10:07:43,-26.6481,15.1594,81.61,43,0,23.17
131,Fenton,US,2022-01-02 10:07:43,42.7978,-83.7049,25.0,90,90,3.0
132,Sao Filipe,CV,2022-01-02 10:07:44,14.8961,-24.4956,78.37,51,96,6.64
133,Klaksvik,FO,2022-01-02 10:08:44,62.2266,-6.589,36.52,95,100,27.78
134,Maloy,NO,2022-01-02 10:08:45,61.9353,5.1136,47.07,86,36,8.99
135,Olafsvik,IS,2022-01-02 10:08:45,64.8945,-23.7142,25.95,66,73,33.08
136,Aguimes,ES,2022-01-02 10:08:45,27.9054,-15.4461,73.65,33,0,1.14
137,Chapleau,CA,2022-01-02 10:08:46,47.8405,-83.4034,-9.47,98,76,3.06
138,Ostrovnoy,RU,2022-01-02 10:08:46,68.0531,39.5131,17.73,87,100,22.01
139,Marathon,US,2022-01-02 10:08:46,44.9,-89.7668,7.52,85,40,6.91
140,San Patricio,US,2022-01-02 10:08:47,28.017,-97.5169,49.98,40,29,23.53
141,Tarauaca,BR,2022-01-02 10:08:47,-8.1614,-70.7656,71.2,99,97,2.51
142,Severo-Kurilsk,RU,2022-01-02 10:08:47,50.6789,156.125,27.79,88,100,12.97
143,Truckee,US,2022-01-02 10:08:48,39.328,-120.1833,29.97,87,4,4.85
144,Bathsheba,BB,2022-01-02 10:08:48,13.2167,-59.5167,77.61,69,20,14.97
145,Buala,SB,2022-01-02 10:08:49,-8.145,159.5921,80.98,82,100,4.5
146,Talbahat,IN,2022-01-02 10:04:51,25.05,78.4333,69.76,30,56,4.54
147,Yerbogachen,RU,2022-01-02 10:08:49,61.2767,108.0108,-31.72,99,28,4.38
148,Naica,MX,2022-01-02 10:08:50,27.85,-105.4833,44.65,52,0,11.16
149,Sinaloa,MX,2022-01-02 10:08:50,25.0,-107.5,57.11,78,0,2.75
150,Yakeshi,CN,2022-01-02 10:08:50,49.2833,120.7333,-18.24,100,10,5.32
151,Gravelbourg,CA,2022-01-02 10:08:51,49.8834,-106.5512,1.69,86,94,10.09
152,San Rafael,AR,2022-01-02 10:07:11,-34.6177,-68.3301,70.66,50,0,5.77
153,Borogontsy,RU,2022-01-02 10:04:34,62.6683,131.1683,-45.18,100,66,2.64
154,Jalu,LY,2022-01-02 10:08:52,29.0331,21.5482,63.54,62,15,11.97
155,Moron,AR,2022-01-02 10:08:52,-34.6534,-58.6198,69.78,96,17,3.44
156,Chik,RU,2022-01-02 10:08:53,54.9928,82.4311,9.18,77,0,11.18
157,Brae,GB,2022-01-02 10:08:53,60.3964,-1.353,48.11,88,90,29.1
158,Norsup,VU,2022-01-02 10:08:53,-16.0667,167.3833,82.42,80,100,6.69
159,College,US,2022-01-02 10:08:54,64.8569,-147.8028,-16.65,59,40,5.75
160,Manggar,ID,2022-01-02 10:08:54,-2.8833,108.2667,80.8,80,100,3.27
161,Upernavik,GL,2022-01-02 10:08:54,72.7868,-56.1549,12.69,87,100,5.44
162,Henties Bay,NA,2022-01-02 10:08:55,-22.116,14.2845,64.85,72,54,9.13
163,Te Anau,NZ,2022-01-02 10:05:18,-45.4167,167.7167,60.3,87,100,2.64
164,Vila Franca Do Campo,PT,2022-01-02 10:08:55,37.7167,-25.4333,63.19,89,95,10.51
165,Bengkulu,ID,2022-01-02 10:08:55,-3.8004,102.2655,80.04,81,100,6.33
166,Nantucket,US,2022-01-02 10:08:56,41.2835,-70.0995,53.71,94,90,5.75
167,East London,ZA,2022-01-02 10:07:35,-33.0153,27.9116,69.6,67,89,10.42
168,Oranjemund,NA,2022-01-02 10:08:56,-28.55,16.4333,70.95,57,6,19.06
169,Rabo De Peixe,PT,2022-01-02 10:08:57,37.8,-25.5833,62.28,100,75,16.11
170,Inhambane,MZ,2022-01-02 10:08:57,-23.865,35.3833,88.36,56,7,12.37
171,Sola,VU,2022-01-02 10:08:57,-13.8833,167.55,82.63,81,100,16.98
172,Port Hardy,CA,2022-01-02 10:08:58,50.6996,-127.4199,44.76,91,100,16.26
173,Honiara,SB,2022-01-02 10:08:58,-9.4333,159.95,79.27,88,100,6.2
174,Souillac,MU,2022-01-02 10:08:58,-20.5167,57.5167,84.58,58,40,12.66
175,Prince Rupert,CA,2022-01-02 10:08:59,54.3161,-130.3201,35.69,93,75,13.8
176,Khatanga,RU,2022-01-02 10:08:59,71.9667,102.5,-54.81,99,87,3.15
177,Punta Gorda,US,2022-01-02 10:08:00,26.9298,-82.0454,73.99,92,40,1.99
178,Saint George,US,2022-01-02 10:09:00,37.1041,-113.5841,26.94,58,1,1.99
179,Hamilton,US,2022-01-02 10:09:00,39.1834,-84.5333,43.79,96,90,1.99
180,Kudahuvadhoo,MV,2022-01-02 10:10:00,2.6708,72.8944,81.84,77,63,11.97
181,Candido Mendes,BR,2022-01-02 10:10:01,-1.4467,-45.7167,75.81,93,94,2.64
182,Gorom-Gorom,BF,2022-01-02 10:10:01,14.4439,-0.2361,77.54,15,98,15.86
183,Valle Del Guamuez,CO,2022-01-02 10:10:01,0.4525,-76.9192,72.12,88,93,2.06
184,Rognan,NO,2022-01-02 10:10:02,67.0953,15.3878,28.54,85,100,11.36
185,Antsohihy,MG,2022-01-02 10:10:03,-14.8796,47.9875,90.45,56,97,2.53
186,Netrakona,BD,2022-01-02 10:05:46,24.8833,90.7167,78.28,28,0,2.21
187,Nalut,LY,2022-01-02 10:10:03,30.3333,10.85,57.63,40,0,4.63
188,Matay,EG,2022-01-02 10:10:04,28.419,30.7792,63.5,52,2,8.68
189,Saskylakh,RU,2022-01-02 10:10:04,71.9167,114.0833,-30.78,99,100,0.49
190,Sakakah,SA,2022-01-02 10:05:56,29.9697,40.2064,52.16,62,100,12.21
191,Saint-Augustin,CA,2022-01-02 10:10:05,51.226,-58.6502,35.31,98,100,16.55
192,Pacifica,US,2022-01-02 10:10:05,37.6138,-122.4869,46.11,73,1,7.0
193,Ambon,ID,2022-01-02 10:10:06,-3.6954,128.1814,82.08,79,100,5.64
194,Acapulco,MX,2022-01-02 10:05:44,16.8634,-99.8901,73.22,88,20,2.3
195,West Wendover,US,2022-01-02 10:10:06,40.7391,-114.0733,11.41,79,1,8.05
196,Iqaluit,CA,2022-01-02 10:07:53,63.7506,-68.5145,0.7,77,100,8.99
197,Carnarvon,AU,2022-01-02 10:10:07,-24.8667,113.6333,78.87,69,0,20.71
198,Kaitangata,NZ,2022-01-02 10:10:08,-46.2817,169.8464,58.06,93,100,3.71
199,Phu Ly,VN,2022-01-02 10:10:08,20.5411,105.9139,70.7,58,24,3.6
200,Nancha,CN,2022-01-02 10:10:08,47.1333,129.2667,-0.29,77,73,13.18
201,Husavik,IS,2022-01-02 10:10:08,66.0449,-17.3389,22.46,74,100,23.98
202,Jumla,NP,2022-01-02 10:10:09,29.2747,82.1838,48.34,43,62,5.01
203,Canavieiras,BR,2022-01-02 10:10:09,-15.675,-38.9472,77.23,80,94,3.83
204,Okhotsk,RU,2022-01-02 10:10:09,59.3833,143.3,-9.94,75,100,13.27
205,Skibbereen,IE,2022-01-02 10:10:10,51.55,-9.2667,48.0,84,100,24.65
206,Kingman,US,2022-01-02 10:10:10,35.1894,-114.053,33.28,68,1,4.61
207,Waddan,LY,2022-01-02 10:10:10,29.1614,16.139,56.93,70,26,12.33
208,Kodiak,US,2022-01-02 10:10:11,57.79,-152.4072,16.29,83,56,34.69
209,Lundazi,ZM,2022-01-02 10:10:11,-12.2929,33.1782,84.09,44,98,5.44
210,Ust-Maya,RU,2022-01-02 10:10:11,60.4167,134.5333,-48.32,100,79,0.51
211,Palmer,US,2022-01-02 10:10:12,42.1584,-72.3287,51.15,86,90,1.01
212,Abomsa,ET,2022-01-02 10:10:12,9.9833,39.9833,82.65,34,20,11.86
